"index","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_Daily_Adj._Open-Adj._Close_P_Delta","AAPL_AfterHours_Adj._Close-Adj._Open_P_Delta","AAPL_Adj._Open","AAPL_Adj._High","AAPL_Adj._Low","AAPL_Adj._Close","AAPL_Adj._Volume","AAPL_25-day_Adj._Close_MA","AAPL_100-day_Adj._Close_MA","GOOG_Daily_Adj._Open-Adj._Close_P_Delta","GOOG_AfterHours_Adj._Close-Adj._Open_P_Delta","GOOG_Adj._Open","GOOG_Adj._High","GOOG_Adj._Low","GOOG_Adj._Close","GOOG_Adj._Volume","GOOG_25-day_Adj._Close_MA","GOOG_100-day_Adj._Close_MA","MSFT_Daily_Adj._Open-Adj._Close_P_Delta","MSFT_AfterHours_Adj._Close-Adj._Open_P_Delta","MSFT_Adj._Open","MSFT_Adj._High","MSFT_Adj._Low","MSFT_Adj._Close","MSFT_Adj._Volume","MSFT_25-day_Adj._Close_MA","MSFT_100-day_Adj._Close_MA","INTC_Daily_Adj._Open-Adj._Close_P_Delta","INTC_AfterHours_Adj._Close-Adj._Open_P_Delta","INTC_Adj._Open","INTC_Adj._High","INTC_Adj._Low","INTC_Adj._Close","INTC_Adj._Volume","INTC_25-day_Adj._Close_MA","INTC_100-day_Adj._Close_MA"
125493,0.0194130721,-0.0112998799,-0.0080085525,29.2499273826,29.3084818883,28.7866961825,28.9194067165,139861400,27.6421971021,26.5178860538,0,0,0,0,0,0,0,0,0,-0.0057123656,-0.0030415681,24.8373612507,24.954203676,24.4951798625,24.6954811629,81332100,24.0675035543,24.4184993667,-0.0115730337,-0.0055700807,17.7950457407,17.9070145678,17.4431437125,17.5891030765,77998500,16.7962997982,16.0458272971
129813,0.0120546002,0.0194130721,0.0039599555,28.6878041285,29.4073739422,28.6461653689,29.2447225377,114104900,27.7690391734,26.546864028,0,0,0,0,0,0,0,0,0,0.0033898305,-0.0003378378,24.6203681753,24.7872859256,24.5285634126,24.7038270505,37718200,24.1275101339,24.4282982052,0.0169181527,0.0067446043,17.4911303527,17.8350346075,17.4671370326,17.7870479673,47405700,16.8542036774,16.0675371389
131253,0.0075997189,0.0120546002,-0.0031529164,29.3605303377,29.7691106659,29.1601438073,29.714459794,150607800,27.8989521032,26.5871885642,0,0,0,0,0,0,0,0,0,0.0098006083,-0.0053547523,24.6954811629,24.954203676,24.5452551876,24.9375119009,42026600,24.1785869655,24.4411783675,0.0126172398,-0.0062851472,17.9070145678,18.194934409,17.8830212477,18.1329516654,64740900,16.9166662874,16.093414765
132693,-0.0165236182,0.0075997189,0.0047434276,29.620772585,29.9538826615,29.6038568389,29.8458821289,149445100,28.0385460447,26.6352943436,0,0,0,0,0,0,0,0,0,-0.0023553163,0.0070826307,24.8039777007,24.9124742384,24.7038270505,24.745556488,33987700,24.2139735285,24.4568539853,-0.0044385264,0.0106999554,18.0189833949,18.1309522221,17.8510301542,17.9390056613,54729000,16.9732905228,16.122944159
134133,0.0085171435,-0.0165236182,0.010147805,29.9874539114,30.0540759267,29.4399042231,29.4919526726,135571100,28.1620153765,26.6747210441,0,0,0,0,0,0,0,0,0,0.0050234427,0.0026657781,24.9208201259,25.5133781396,24.8707448008,25.0460084387,73168700,24.2487258042,24.4738797332,-0.0141155712,0.0035794183,18.1309522221,18.1789388623,17.8430323809,17.8750234743,52428700,17.0215970739,16.1503374871
135573,-0.0026180258,0.0085171435,0.0090948463,29.791231257,30.1815946279,29.7391828075,30.0449674481,160218800,28.3141529942,26.7298924005,0,0,0,0,0,0,0,0,0,-0.0142904619,0.0016857721,25.1127755388,25.2045803015,24.6954811629,24.7539023756,55595500,24.2784371637,24.4920376744,-0.008470798,0.007868705,17.9390056613,18.0669700351,17.6510858201,17.7870479673,45700500,17.0670244266,16.1777173066
139893,-0.0032024149,-0.0026180258,0.0181277163,30.3182218077,30.4314141731,30.1386546571,30.2388479223,135186100,28.4805727065,26.7859485806,0,0,0,0,0,0,0,0,0,-0.0040390441,0.001351808,24.7956318131,24.8874365758,24.6620976129,24.6954811629,33336000,24.3071470168,24.5083706115,-0.0037921035,0.0031347962,17.9270090012,17.9869923015,17.803043514,17.8590279276,34467900,17.1137314231,16.2066044227
141333,-0.0020807678,-0.0032024149,-0.0015052259,30.7870091798,30.9011644416,30.4808732122,30.6884164044,131827500,28.6824478226,26.8472291237,0,0,0,0,0,0,0,0,0,0.0047249409,-0.0043668122,24.728864713,24.9208201259,24.6203681753,24.8457071382,34954800,24.3552193289,24.5291009897,-0.0026785714,-0.0008952552,17.9150123412,18.0269811683,17.7390613271,17.867025701,37886300,17.1761780376,16.2395877508
142773,-0.0064002695,-0.0020807678,0.0105957447,30.6422234056,30.787959064,30.5081986482,30.578464055,107664900,28.8612030174,26.9047296483,0,0,0,0,0,0,0,0,0,-0.0118927126,0.0021340162,24.7372106005,24.8039777007,24.3449538872,24.4430180655,63760000,24.377169013,24.5414203454,-0.001344086,0.0049349484,17.8510301542,17.9949900748,17.7574562058,17.8270368341,45983800,17.2270438762,16.2703599474
144213,0.0149590382,-0.0064002695,-0.0042166377,30.9024656528,31.0638158461,30.2856915268,30.7046815449,150786300,29.0380116002,26.9593023174,0,0,0,0,0,0,0,0,0,-0.0064735945,-0.0010288066,24.4951798625,24.6537517254,23.8859300738,24.3366079997,74768100,24.3958638011,24.5492841022,-0.0004464286,0.0040196516,17.9150123412,18.106958902,17.7550568738,17.9070145678,45491000,17.2833482007,16.2995516387
149973,0.0056255248,0.0149590382,-0.0012159839,30.5752110269,31.0351891989,30.5485361965,31.0325867765,171126900,29.2142996985,27.0167507935,0,0,0,0,0,0,0,0,0,0.0048060419,-0.0040997608,24.3115703372,24.5577740189,24.228111462,24.4284127624,34331200,24.4158939311,24.5576523094,0.0048932384,-0.00708278,17.9789945281,18.1149566753,17.867025701,18.0669700351,34942900,17.3492498532,16.3300255138
151413,0.0036709494,0.0056255248,0.0007514403,30.9948516506,31.2602987428,30.8387063022,31.1692139563,111754300,29.3733077116,27.0663009174,0,0,0,0,0,0,0,0,0,0.0058319039,-0.0054570259,24.3282621122,24.6871352754,24.1863820244,24.4701422,47366800,24.4259089961,24.562549996,-0.0013374944,0.0013392857,17.9390056613,17.9789945281,17.803043514,17.9150123412,47056500,17.3981962262,16.3547746461
152853,-0.0020379305,0.0036709494,-0.0006650042,31.1926357585,31.4789022305,31.0547203796,31.3071423473,157125500,29.5385615386,27.1152524841,0,0,0,0,0,0,0,0,0,0.006515775,-0.0010221465,24.3366079997,24.6704435004,24.3199162247,24.4951798625,58318800,24.4556203557,24.5675326203,0.0008916629,-0.0033407572,17.9390056613,18.1390299732,17.7950457407,17.955001208,62539800,17.4542606175,16.3796062961
154293,0.0014911154,-0.0020379305,0.0061679517,31.2863229676,31.4294562036,30.9740322708,31.222563617,143247300,29.6979338908,27.1630069365,0,0,0,0,0,0,0,0,0,0.0204638472,0.0010026738,24.4701422,25.0167978323,24.4534504249,24.970895451,63713800,24.5043603388,24.5763624863,-0.0029050279,0.0040340654,17.8950179077,17.9230101145,17.7230657804,17.8430323809,40824500,17.5115246748,16.4006206044
155733,0.0003715937,0.0014911154,0.0016956863,31.41514288,31.4749985968,31.28892539,31.4619864845,83545700,29.8597004717,27.2147951437,0,0,0,0,0,0,0,0,0,0.0130217028,-0.002966381,24.9959331136,25.3798439393,24.9500307322,25.3214227267,54752500,24.5614462094,24.5867123579,0.0066964286,0.0062084257,17.9150123412,18.0509744884,17.8830212477,18.0349789417,45528700,17.5761466836,16.4248238623
160053,0.0023567353,0.0003715937,-0.0017747328,31.5153361452,31.6285415227,31.4645889069,31.5270470463,83256600,29.9811815528,27.2640329769,0,0,0,0,0,0,0,0,0,0.0023140496,-0.0056068602,25.2463097391,25.4466110395,25.2087532452,25.3047309517,37068800,24.6192832099,24.594661886,-0.0066549141,0.004924797,18.1469477688,18.1789388623,17.9470034346,18.0261813909,49353000,17.6320991061,16.4478283462
161493,0.001671559,0.0023567353,0.0117559708,31.4710949631,31.5934088194,31.3735041204,31.5452640036,76552700,30.1027146822,27.3106163391,0,0,0,0,0,0,0,0,0,0.0099502488,0.0111658456,25.1628508639,25.454956927,25.1461590889,25.4132274894,41374600,24.680041271,24.6044408548,0.0052935982,0.0351384942,18.1149566753,18.2509188226,17.9709967547,18.210849978,122395600,17.6960780939,16.4694264631
162933,0.012775653,0.001671559,0.0003663153,31.916109206,31.9850734015,31.7586626464,31.9694588667,101019100,30.2207085172,27.3609602019,0,0,0,0,0,0,0,0,0,0.0009743423,0,25.696987665,25.8722513028,25.5884911273,25.7220253275,68941200,24.7474760422,24.6124273534,-0.0021213407,0.0131802721,18.850751825,18.9468050832,18.610818624,18.8107629582,159980600,17.7786151151,16.4963096252
164373,-0.0047069236,0.012775653,-0.0014060742,31.9811697678,32.4040634196,31.9460370644,32.389750096,94196200,30.3460411835,27.4168602366,0,0,0,0,0,0,0,0,0,0.0016223232,-0.0025915128,25.7220253275,25.8305218653,25.6302205648,25.7637547651,52745400,24.8109047873,24.6199172893,0.0164078892,-0.0066471244,19.0586939326,19.4879344292,19.0347006125,19.3714068712,110819600,17.8755801194,16.5303860814
